id,age_group_det,pop,deaths,f_age
01001,ALT000,894,5,0
01001,ALT001B05,3139,1,1
01001,ALT005B10,3590,1,5
01001,ALT010B15,3371,0,10
01001,ALT015B20,4397,1,15
01001,ALT020B25,8389,5,20
01001,ALT025B30,7767,3,25
01001,ALT030B35,5419,1,30
01001,ALT035B40,4860,8,35
01001,ALT040B45,4694,4,40
01001,ALT045B50,6099,18,45
01001,ALT050B55,6455,33,50
01001,ALT055B60,5718,46,55
01001,ALT060B65,4899,63,60
01001,ALT065B70,4553,74,65
01001,ALT070B75,3952,85,70
01001,ALT075B80,4538,160,75
01001,ALT080B85,2582,161,80
01001,ALT085UM,2116,378,85
01002,ALT000,2470,8,0
01002,ALT001B05,8589,1,1
01002,ALT005B10,9819,0,5
01002,ALT010B15,9540,1,10
01002,ALT015B20,11273,5,15
01002,ALT020B25,21992,10,20
01002,ALT025B30,25421,6,25
01002,ALT030B35,19420,8,30
01002,ALT035B40,15634,17,35
01002,ALT040B45,13922,21,40
01002,ALT045B50,17331,51,45
01002,ALT050B55,18149,77,50
01002,ALT055B60,15398,121,55
01002,ALT060B65,13005,139,60
01002,ALT065B70,11587,202,65
01002,ALT070B75,10318,260,70
01002,ALT075B80,11421,392,75
01002,ALT080B85,6496,377,80
01002,ALT085UM,5656,888,85
01003,ALT000,1998,10,0
01003,ALT001B05,7287,1,1
01003,ALT005B10,8841,0,5
01003,ALT010B15,8843,1,10
01003,ALT015B20,10375,2,15
01003,ALT020B25,13476,5,20
01003,ALT025B30,15261,3,25
01003,ALT030B35,13654,14,30
01003,ALT035B40,12727,13,35
01003,ALT040B45,12300,21,40
01003,ALT045B50,16226,51,45
01003,ALT050B55,17600,75,50
01003,ALT055B60,15152,119,55
01003,ALT060B65,12775,130,60
01003,ALT065B70,12178,208,65
01003,ALT070B75,10953,280,70
01003,ALT075B80,12613,426,75
01003,ALT080B85,7655,438,80
01003,ALT085UM,6798,977,85
01004,ALT000,693,5,0
01004,ALT001B05,2701,0,1
01004,ALT005B10,3525,0,5
01004,ALT010B15,3592,0,10
01004,ALT015B20,4617,0,15
01004,ALT020B25,4648,3,20
01004,ALT025B30,5245,1,25
01004,ALT030B35,4649,3,30
01004,ALT035B40,4453,3,35
01004,ALT040B45,4521,11,40
01004,ALT045B50,6128,21,45
01004,ALT050B55,6414,28,50
01004,ALT055B60,5782,38,55
01004,ALT060B65,4805,47,60
01004,ALT065B70,4453,74,65
01004,ALT070B75,3852,103,70
01004,ALT075B80,4696,169,75
01004,ALT080B85,2642,147,80
01004,ALT085UM,2264,352,85
01051,ALT000,1094,4,0
01051,ALT001B05,4201,1,1
01051,ALT005B10,5659,1,5
01051,ALT010B15,6266,0,10
01051,ALT015B20,7653,2,15
01051,ALT020B25,7349,7,20
01051,ALT025B30,6842,3,25
01051,ALT030B35,6460,3,30
01051,ALT035B40,6638,1,35
01051,ALT040B45,7204,12,40
01051,ALT045B50,10607,34,45
01051,ALT050B55,11656,42,50
01051,ALT055B60,10404,60,55
01051,ALT060B65,9110,101,60
01051,ALT065B70,8571,115,65
01051,ALT070B75,7076,175,70
01051,ALT075B80,8189,288,75
01051,ALT080B85,4808,283,80
01051,ALT085UM,3773,585,85
01053,ALT000,1887,8,0
01053,ALT001B05,7028,1,1
01053,ALT005B10,8810,0,5
01053,ALT010B15,9644,1,10
01053,ALT015B20,10704,4,15
01053,ALT020B25,9140,4,20
01053,ALT025B30,9759,4,25
01053,ALT030B35,10594,2,30
01053,ALT035B40,11297,11,35
01053,ALT040B45,11670,18,40
01053,ALT045B50,16111,31,45
01053,ALT050B55,18167,37,50
01053,ALT055B60,15095,82,55
01053,ALT060B65,11897,113,60
01053,ALT065B70,10858,149,65
01053,ALT070B75,9189,194,70
01053,ALT075B80,11151,363,75
01053,ALT080B85,6684,371,80
01053,ALT085UM,5378,820,85
01054,ALT000,1410,4,0
01054,ALT001B05,5245,1,1
01054,ALT005B10,6571,1,5
01054,ALT010B15,7846,0,10
01054,ALT015B20,9547,5,15
01054,ALT020B25,9023,3,20
01054,ALT025B30,9288,4,25
01054,ALT030B35,8435,11,30
01054,ALT035B40,8544,9,35
01054,ALT040B45,9016,13,40
01054,ALT045B50,12836,26,45
01054,ALT050B55,14743,42,50
01054,ALT055B60,12653,81,55
01054,ALT060B65,10830,89,60
01054,ALT065B70,10349,117,65
01054,ALT070B75,8582,191,70
01054,ALT075B80,10062,314,75
01054,ALT080B85,5482,345,80
01054,ALT085UM,4464,714,85
01055,ALT000,1348,6,0
01055,ALT001B05,5788,1,1
01055,ALT005B10,7841,0,5
01055,ALT010B15,8669,0,10
01055,ALT015B20,10117,5,15
01055,ALT020B25,8957,3,20
01055,ALT025B30,9231,3,25
01055,ALT030B35,9114,6,30
01055,ALT035B40,10177,5,35
01055,ALT040B45,10865,11,40
01055,ALT045B50,16163,38,45
01055,ALT050B55,17938,53,50
01055,ALT055B60,16186,105,55
01055,ALT060B65,14278,124,60
01055,ALT065B70,13866,189,65
01055,ALT070B75,12267,238,70
01055,ALT075B80,13845,437,75
01055,ALT080B85,7828,470,80
01055,ALT085UM,6335,981,85
01056,ALT000,2955,5,0
01056,ALT001B05,11130,1,1
01056,ALT005B10,14278,2,5
01056,ALT010B15,14788,0,10
01056,ALT015B20,16273,2,15
01056,ALT020B25,15597,7,20
01056,ALT025B30,16327,5,25
01056,ALT030B35,17023,7,30
01056,ALT035B40,18835,13,35
01056,ALT040B45,18939,17,40
01056,ALT045B50,26107,46,45
01056,ALT050B55,28302,91,50
01056,ALT055B60,23323,134,55
01056,ALT060B65,18141,158,60
01056,ALT065B70,17104,234,65
01056,ALT070B75,15559,347,70
01056,ALT075B80,17711,601,75
01056,ALT080B85,10456,564,80
01056,ALT085UM,7805,1248,85
01057,ALT000,964,3,0
01057,ALT001B05,4100,0,1
01057,ALT005B10,5485,1,5
01057,ALT010B15,6033,0,10
01057,ALT015B20,7153,1,15
01057,ALT020B25,5650,3,20
01057,ALT025B30,5629,1,25
01057,ALT030B35,5733,1,30
01057,ALT035B40,6586,1,35
01057,ALT040B45,7141,10,40
01057,ALT045B50,10658,14,45
01057,ALT050B55,11963,38,50
01057,ALT055B60,10109,51,55
01057,ALT060B65,8629,68,60
01057,ALT065B70,8473,98,65
01057,ALT070B75,7502,158,70
01057,ALT075B80,8611,256,75
01057,ALT080B85,4666,262,80
01057,ALT085UM,3618,579,85
01058,ALT000,2255,4,0
01058,ALT001B05,9234,1,1
01058,ALT005B10,12255,0,5
01058,ALT010B15,13492,1,10
01058,ALT015B20,16036,4,15
01058,ALT020B25,12892,10,20
01058,ALT025B30,12754,8,25
01058,ALT030B35,13175,5,30
01058,ALT035B40,14530,10,35
01058,ALT040B45,15803,17,40
01058,ALT045B50,22994,36,45
01058,ALT050B55,25373,78,50
01058,ALT055B60,21083,103,55
01058,ALT060B65,17690,155,60
01058,ALT065B70,16694,207,65
01058,ALT070B75,13961,307,70
01058,ALT075B80,16094,517,75
01058,ALT080B85,9086,520,80
01058,ALT085UM,6936,1149,85
01059,ALT000,1787,1,0
01059,ALT001B05,6767,2,1
01059,ALT005B10,8930,1,5
01059,ALT010B15,9823,1,10
01059,ALT015B20,11726,4,15
01059,ALT020B25,9586,6,20
01059,ALT025B30,9826,4,25
01059,ALT030B35,9772,6,30
01059,ALT035B40,10649,13,35
01059,ALT040B45,11040,25,40
01059,ALT045B50,16281,42,45
01059,ALT050B55,17921,68,50
01059,ALT055B60,15179,105,55
01059,ALT060B65,12968,124,60
01059,ALT065B70,12396,164,65
01059,ALT070B75,10389,231,70
01059,ALT075B80,11953,391,75
01059,ALT080B85,6478,398,80
01059,ALT085UM,5214,846,85
01060,ALT000,2427,7,0
01060,ALT001B05,9745,0,1
01060,ALT005B10,12367,2,5
01060,ALT010B15,13003,1,10
01060,ALT015B20,14858,6,15
01060,ALT020B25,13339,3,20
01060,ALT025B30,14385,3,25
01060,ALT030B35,15407,7,30
01060,ALT035B40,16714,9,35
01060,ALT040B45,16523,20,40
01060,ALT045B50,23033,44,45
01060,ALT050B55,24798,85,50
01060,ALT055B60,20518,118,55
01060,ALT060B65,16342,137,60
01060,ALT065B70,15389,211,65
01060,ALT070B75,13532,299,70
01060,ALT075B80,14852,488,75
01060,ALT080B85,8699,500,80
01060,ALT085UM,6304,997,85
01061,ALT000,1119,6,0
01061,ALT001B05,4389,0,1
01061,ALT005B10,5602,0,5
01061,ALT010B15,6249,1,10
01061,ALT015B20,7624,2,15
01061,ALT020B25,6819,4,20
01061,ALT025B30,7002,2,25
