id,incoming0,outgoing0,incoming1,outgoing1
1001,21766,10264,390,198
1002,59019,26336,1502,770
1003,33621,21557,8741,2498
1004,19484,10952,2041,133
1051,5796,12019,249,196
1053,13163,42802,4692,1835
1054,7970,11095,1073,289
1055,13388,25734,1938,1029
1056,32904,69219,1065,912
1057,9838,27756,150,276
1058,26046,46732,978,484
1059,15314,29704,351,436
1060,38238,59396,1536,818
1061,10281,22312,270,196
1062,44986,56710,3526,1050
2000,326970,121556,29464,10426
3101,59573,34548,5466,1371
3102,22697,14724,1701,350
3103,66403,8571,11376,640
3151,11469,42808,2665,827
3153,7610,13683,4268,1587
3154,4937,22252,4492,1451
3155,11437,18310,861,358
3157,10072,31404,524,405
3158,8328,31082,1768,647
3159,25285,24409,10656,3555
3241,117955,60002,10176,4771
3251,22773,41557,569,299
3252,13146,17639,159,156
3254,21273,34311,882,804
3255,7351,10249,22,47
3256,9514,17647,748,203
3257,13345,27397,230,304
3351,11102,20484,922,356
3352,9197,33783,487,387
3353,24497,62956,1775,843
3354,1135,3882,2193,1065
3355,13221,24623,2057,1388
3356,10134,28053,237,158
3357,12689,24097,501,263
3358,9399,16328,473,283
3359,12901,32993,613,499
3360,5449,10226,1273,466
3361,18812,25882,483,146
3401,10227,16225,129,30
3402,18941,4415,142,32
3403,41340,22612,510,531
3404,54856,24909,802,351
3405,12341,7560,92,139
3451,18546,23421,207,125
3452,13443,23494,369,128
3453,17542,22486,632,244
3454,31816,28124,1722,440
3455,10071,16791,21,100
3456,8701,12820,193,140
3457,10524,25690,349,113
3458,15323,34067,186,219
3459,42281,66547,2273,356
3460,20915,13684,708,113
3461,7489,12228,79,109
3462,5021,9351,111,48
4011,113809,43712,3581,1926
4012,22926,11271,212,170
5111,252878,85956,7261,1900
5112,84498,84650,942,663
5113,125908,83769,2798,1037
5114,49604,39023,598,495
5116,43633,40793,282,269
5117,34157,35645,389,212
5119,35997,45374,286,190
5120,20705,17307,52,44
5122,18849,27714,205,118
