id_kreis_a,id_kreis_b,scaled_sci
DE111,DE111,537390
DE111,DE112,280831
DE111,DE113,272436
DE111,DE114,113737
DE111,DE115,323964
DE111,DE116,316722
DE111,DE117,73393
DE111,DE118,63287
DE111,DE119,53019
DE111,DE11A,53161
DE111,DE11B,29173
DE111,DE11C,36187
DE111,DE11D,78963
DE111,DE121,33569
DE111,DE122,42921
DE111,DE123,27299
DE111,DE124,25655
DE111,DE125,38445
DE111,DE126,24132
DE111,DE127,33029
DE111,DE128,19399
DE111,DE129,66861
DE111,DE12A,133291
DE111,DE12B,106711
DE111,DE12C,75498
DE111,DE131,40375
DE111,DE132,19812
DE111,DE133,19854
DE111,DE134,24091
DE111,DE135,57787
DE111,DE136,35942
DE111,DE137,38428
DE111,DE138,45500
DE111,DE139,16514
DE111,DE13A,18562
DE111,DE141,102118
DE111,DE142,139630
DE111,DE143,67297
DE111,DE144,46005
DE111,DE145,34859
DE111,DE146,36424
DE111,DE147,35884
DE111,DE148,36597
DE111,DE149,48634
DE111,DE211,10700
DE111,DE212,18499
DE111,DE213,8685
DE111,DE214,4842
DE111,DE215,6817
DE111,DE216,8471
DE111,DE217,8417
DE111,DE218,9535
DE111,DE219,8768
DE111,DE21A,7250
DE111,DE21B,8903
DE111,DE21C,9313
DE111,DE21D,9734
DE111,DE21E,9789
DE111,DE21F,10482
DE111,DE21G,5681
DE111,DE21H,12369
DE111,DE21I,6309
DE111,DE21J,6712
DE111,DE21K,7707
DE111,DE21L,11272
DE111,DE21M,6989
DE111,DE21N,7600
DE111,DE221,6574
DE111,DE222,12238
DE111,DE223,4975
DE111,DE224,4757
DE111,DE225,3581
DE111,DE226,4981
DE111,DE227,5812
DE111,DE228,4154
DE111,DE229,4048
DE111,DE22A,4137
DE111,DE22B,4733
DE111,DE22C,4794
DE111,DE231,6059
DE111,DE232,10604
DE111,DE233,5612
DE111,DE234,4685
DE111,DE235,4289
DE111,DE236,5483
DE111,DE237,4475
DE111,DE238,6812
DE111,DE239,4387
DE111,DE23A,4812
DE111,DE241,13681
DE111,DE242,13631
DE111,DE243,9412
DE111,DE244,6983
DE111,DE245,5974
DE111,DE246,5597
DE111,DE247,5276
DE111,DE248,6166
DE111,DE249,5543
DE111,DE24A,4561
DE111,DE24B,5638
DE111,DE24C,5369
DE111,DE24D,5087
DE111,DE251,9436
DE111,DE252,14600
DE111,DE253,8109
DE111,DE254,10646
DE111,DE255,7210
DE111,DE256,12803
DE111,DE257,8340
DE111,DE258,7235
DE111,DE259,8026
DE111,DE25A,6803
DE111,DE25B,6615
DE111,DE25C,7281
DE111,DE261,9896
DE111,DE262,8521
DE111,DE263,23168
DE111,DE264,7971
DE111,DE265,7342
DE111,DE266,7917
DE111,DE267,5386
DE111,DE268,9387
DE111,DE269,11112
DE111,DE26A,9306
DE111,DE26B,7402
DE111,DE26C,11865
DE111,DE271,13694
DE111,DE272,9679
DE111,DE273,18901
DE111,DE274,15182
DE111,DE275,8111
DE111,DE276,8979
DE111,DE277,11943
DE111,DE278,12843
DE111,DE279,20282
DE111,DE27A,19880
DE111,DE27B,12999
DE111,DE27C,10607
DE111,DE27D,11517
DE111,DE27E,17443
DE111,DE300,11651
DE111,DE401,3449
DE111,DE402,4778
DE111,DE403,4109
DE111,DE404,6632
DE111,DE405,4022
DE111,DE406,4222
DE111,DE407,3838
DE111,DE408,3699
DE111,DE409,3828
DE111,DE40A,3811
DE111,DE40B,3427
DE111,DE40C,3902
DE111,DE40D,2842
DE111,DE40E,4732
DE111,DE40F,2526
DE111,DE40G,3869
DE111,DE40H,3543
DE111,DE40I,2701
DE111,DE501,6179
DE111,DE502,4025
DE111,DE600,9056
DE111,DE711,13956
DE111,DE712,14296
DE111,DE713,9044
DE111,DE714,9937
DE111,DE715,10573
DE111,DE716,8114
DE111,DE717,7794
DE111,DE718,8681
DE111,DE719,6518
DE111,DE71A,8935
DE111,DE71B,8404
DE111,DE71C,8116
DE111,DE71D,8296
DE111,DE71E,6973
DE111,DE721,9967
DE111,DE722,6049
DE111,DE723,6468
DE111,DE724,8899
DE111,DE725,5656
DE111,DE731,7528
DE111,DE732,8021
DE111,DE733,5807
DE111,DE734,5121
DE111,DE735,4798
DE111,DE736,5556
DE111,DE737,5599
DE111,DE803,4644
DE111,DE804,3567
DE111,DE80J,3671
DE111,DE80K,3204
DE111,DE80L,3527
DE111,DE80M,3267
DE111,DE80N,4185
DE111,DE80O,2609
DE111,DE911,7125
DE111,DE912,3617
DE111,DE913,5764
DE111,DE914,4736
DE111,DE916,4440
DE111,DE917,3320
DE111,DE918,4982
DE111,DE91A,3486
DE111,DE91B,4248
DE111,DE91C,7637
DE111,DE922,3706
DE111,DE923,3971
DE111,DE925,5270
DE111,DE926,3928
DE111,DE927,3901
DE111,DE928,3997
DE111,DE929,6407
DE111,DE931,3844
DE111,DE932,3409
DE111,DE933,4693
DE111,DE934,3041
DE111,DE935,5505
DE111,DE936,3804
DE111,DE937,3552
DE111,DE938,3705
DE111,DE939,3714
DE111,DE93A,3762
DE111,DE93B,4448
DE111,DE941,3235
DE111,DE942,4775
DE111,DE943,5731
DE111,DE944,6008
DE111,DE945,4096
DE111,DE946,3888
DE111,DE947,3472
DE111,DE948,3194
DE111,DE949,3041
DE111,DE94A,3299
DE111,DE94B,3133
DE111,DE94C,3408
DE111,DE94D,3624
DE111,DE94E,3422
DE111,DE94F,3699
DE111,DE94G,3586
DE111,DE94H,4211
DE111,DEA11,10537
DE111,DEA12,4862
DE111,DEA13,5973
DE111,DEA14,4755
DE111,DEA15,4706
DE111,DEA16,5768
DE111,DEA17,4143
DE111,DEA18,4343
DE111,DEA19,4916
DE111,DEA1A,5670
DE111,DEA1B,3492
DE111,DEA1C,5126
DE111,DEA1D,5277
DE111,DEA1E,3873
DE111,DEA1F,4010
DE111,DEA22,9015
DE111,DEA23,11262
DE111,DEA24,5346
DE111,DEA26,4247
DE111,DEA27,5323
DE111,DEA28,4513
