id,age_group_det,pop,ICD10D,hosp,disease,f_age,l_age
01001,ALT000,894,ICD10D-A00-B99,24,infectious,0,NA
01001,ALT000,894,ICD10D-INS,349,all,0,NA
01001,ALT000,894,ICD10D-J00-J99,39,respiratory,0,NA
01001,ALT001B05,3139,ICD10D-A00-B99,38,infectious,1,5
01001,ALT001B05,3139,ICD10D-INS,308,all,1,5
01001,ALT001B05,3139,ICD10D-J00-J99,113,respiratory,1,5
01001,ALT005B10,3590,ICD10D-A00-B99,13,infectious,5,10
01001,ALT005B10,3590,ICD10D-INS,201,all,5,10
01001,ALT005B10,3590,ICD10D-J00-J99,43,respiratory,5,10
01001,ALT010B15,3371,ICD10D-A00-B99,13,infectious,10,15
01001,ALT010B15,3371,ICD10D-INS,205,all,10,15
01001,ALT010B15,3371,ICD10D-J00-J99,25,respiratory,10,15
01001,ALT015B20,4397,ICD10D-A00-B99,17,infectious,15,20
01001,ALT015B20,4397,ICD10D-INS,537,all,15,20
01001,ALT015B20,4397,ICD10D-J00-J99,45,respiratory,15,20
01001,ALT020B25,8389,ICD10D-A00-B99,16,infectious,20,25
01001,ALT020B25,8389,ICD10D-INS,917,all,20,25
01001,ALT020B25,8389,ICD10D-J00-J99,53,respiratory,20,25
01001,ALT025B30,7767,ICD10D-A00-B99,19,infectious,25,30
01001,ALT025B30,7767,ICD10D-INS,1052,all,25,30
01001,ALT025B30,7767,ICD10D-J00-J99,54,respiratory,25,30
01001,ALT030B35,5419,ICD10D-A00-B99,11,infectious,30,35
01001,ALT030B35,5419,ICD10D-INS,958,all,30,35
01001,ALT030B35,5419,ICD10D-J00-J99,37,respiratory,30,35
01001,ALT035B40,4860,ICD10D-A00-B99,11,infectious,35,40
01001,ALT035B40,4860,ICD10D-INS,683,all,35,40
01001,ALT035B40,4860,ICD10D-J00-J99,31,respiratory,35,40
01001,ALT040B45,4694,ICD10D-A00-B99,6,infectious,40,45
01001,ALT040B45,4694,ICD10D-INS,631,all,40,45
01001,ALT040B45,4694,ICD10D-J00-J99,25,respiratory,40,45
01001,ALT045B50,6099,ICD10D-A00-B99,20,infectious,45,50
01001,ALT045B50,6099,ICD10D-INS,962,all,45,50
01001,ALT045B50,6099,ICD10D-J00-J99,45,respiratory,45,50
01001,ALT050B55,6455,ICD10D-A00-B99,8,infectious,50,55
01001,ALT050B55,6455,ICD10D-INS,1130,all,50,55
01001,ALT050B55,6455,ICD10D-J00-J99,80,respiratory,50,55
01001,ALT055B60,5718,ICD10D-A00-B99,18,infectious,55,60
01001,ALT055B60,5718,ICD10D-INS,1218,all,55,60
01001,ALT055B60,5718,ICD10D-J00-J99,89,respiratory,55,60
01001,ALT060B65,4899,ICD10D-A00-B99,27,infectious,60,65
01001,ALT060B65,4899,ICD10D-INS,1245,all,60,65
01001,ALT060B65,4899,ICD10D-J00-J99,144,respiratory,60,65
01001,ALT065B70,4553,ICD10D-A00-B99,45,infectious,65,70
01001,ALT065B70,4553,ICD10D-INS,1390,all,65,70
01001,ALT065B70,4553,ICD10D-J00-J99,116,respiratory,65,70
01001,ALT070B75,3952,ICD10D-A00-B99,35,infectious,70,75
01001,ALT070B75,3952,ICD10D-INS,1610,all,70,75
01001,ALT070B75,3952,ICD10D-J00-J99,165,respiratory,70,75
01001,ALT075B80,4538,ICD10D-A00-B99,44,infectious,75,80
01001,ALT075B80,4538,ICD10D-INS,2103,all,75,80
01001,ALT075B80,4538,ICD10D-J00-J99,164,respiratory,75,80
01001,ALT080B85,2582,ICD10D-A00-B99,32,infectious,80,85
01001,ALT080B85,2582,ICD10D-INS,1324,all,80,85
01001,ALT080B85,2582,ICD10D-J00-J99,71,respiratory,80,85
01001,ALT085B90,1351,ICD10D-A00-B99,30,infectious,85,90
01001,ALT085B90,1351,ICD10D-INS,835,all,85,90
01001,ALT085B90,1351,ICD10D-J00-J99,62,respiratory,85,90
01001,ALT090UM,765,ICD10D-A00-B99,13,infectious,90,NA
01001,ALT090UM,765,ICD10D-INS,518,all,90,NA
01001,ALT090UM,765,ICD10D-J00-J99,29,respiratory,90,NA
01002,ALT000,2470,ICD10D-A00-B99,24,infectious,0,NA
01002,ALT000,2470,ICD10D-INS,746,all,0,NA
01002,ALT000,2470,ICD10D-J00-J99,45,respiratory,0,NA
01002,ALT001B05,8589,ICD10D-A00-B99,40,infectious,1,5
01002,ALT001B05,8589,ICD10D-INS,839,all,1,5
01002,ALT001B05,8589,ICD10D-J00-J99,115,respiratory,1,5
01002,ALT005B10,9819,ICD10D-A00-B99,83,infectious,5,10
01002,ALT005B10,9819,ICD10D-INS,1338,all,5,10
01002,ALT005B10,9819,ICD10D-J00-J99,244,respiratory,5,10
01002,ALT010B15,9540,ICD10D-A00-B99,45,infectious,10,15
01002,ALT010B15,9540,ICD10D-INS,705,all,10,15
01002,ALT010B15,9540,ICD10D-J00-J99,71,respiratory,10,15
01002,ALT015B20,11273,ICD10D-A00-B99,32,infectious,15,20
01002,ALT015B20,11273,ICD10D-INS,1197,all,15,20
01002,ALT015B20,11273,ICD10D-J00-J99,116,respiratory,15,20
01002,ALT020B25,21992,ICD10D-A00-B99,67,infectious,20,25
01002,ALT020B25,21992,ICD10D-INS,2111,all,20,25
01002,ALT020B25,21992,ICD10D-J00-J99,196,respiratory,20,25
01002,ALT025B30,25421,ICD10D-A00-B99,83,infectious,25,30
01002,ALT025B30,25421,ICD10D-INS,2755,all,25,30
01002,ALT025B30,25421,ICD10D-J00-J99,188,respiratory,25,30
01002,ALT030B35,19420,ICD10D-A00-B99,49,infectious,30,35
01002,ALT030B35,19420,ICD10D-INS,2831,all,30,35
01002,ALT030B35,19420,ICD10D-J00-J99,136,respiratory,30,35
01002,ALT035B40,15634,ICD10D-A00-B99,46,infectious,35,40
