id,nuts_id
8111,DE111
8115,DE112
8116,DE113
8117,DE114
8118,DE115
8119,DE116
8121,DE117
8125,DE118
8126,DE119
8127,DE11A
8128,DE11B
8135,DE11C
8136,DE11D
8211,DE121
8212,DE122
8215,DE123
8216,DE124
8221,DE125
8222,DE126
8225,DE127
8226,DE128
8231,DE129
8235,DE12A
8236,DE12B
8237,DE12C
8311,DE131
8315,DE132
8316,DE133
8317,DE134
8325,DE135
8326,DE136
8327,DE137
8335,DE138
8336,DE139
8337,DE13A
8415,DE141
8416,DE142
8417,DE143
8421,DE144
8425,DE145
8426,DE146
8435,DE147
8436,DE148
8437,DE149
9161,DE211
9162,DE212
9163,DE213
9171,DE214
9172,DE215
9173,DE216
9174,DE217
9175,DE218
9176,DE219
9177,DE21A
9178,DE21B
9179,DE21C
9180,DE21D
9181,DE21E
9182,DE21F
9183,DE21G
9184,DE21H
9185,DE21I
9186,DE21J
9187,DE21K
9188,DE21L
9189,DE21M
9190,DE21N
9261,DE221
9262,DE222
9263,DE223
9271,DE224
9272,DE225
9273,DE226
9274,DE227
9275,DE228
9276,DE229
9277,DE22A
9278,DE22B
9279,DE22C
9361,DE231
9362,DE232
9363,DE233
9371,DE234
9372,DE235
9373,DE236
9374,DE237
9375,DE238
9376,DE239
9377,DE23A
9461,DE241
9462,DE242
9463,DE243
9464,DE244
9471,DE245
9472,DE246
9473,DE247
9474,DE248
9475,DE249
9476,DE24A
9477,DE24B
9478,DE24C
9479,DE24D
9561,DE251
9562,DE252
9563,DE253
9564,DE254
9565,DE255
9571,DE256
9572,DE257
9573,DE258
9574,DE259
9575,DE25A
9576,DE25B
9577,DE25C
9661,DE261
9662,DE262
9663,DE263
9671,DE264
9672,DE265
9673,DE266
9674,DE267
9675,DE268
9676,DE269
9677,DE26A
9678,DE26B
9679,DE26C
9761,DE271
9762,DE272
9763,DE273
9764,DE274
9771,DE275
9772,DE276
9773,DE277
9774,DE278
9775,DE279
9776,DE27A
9777,DE27B
9778,DE27C
9779,DE27D
9780,DE27E
12051,DE401
12052,DE402
12053,DE403
12054,DE404
12060,DE405
12061,DE406
12062,DE407
12063,DE408
12064,DE409
12065,DE40A
12066,DE40B
12067,DE40C
12068,DE40D
12069,DE40E
12070,DE40F
12071,DE40G
12072,DE40H
12073,DE40I
4011,DE501
4012,DE502
2000,DE600
6411,DE711
6412,DE712
6413,DE713
6414,DE714
6431,DE715
6432,DE716
6433,DE717
6434,DE718
6435,DE719
6436,DE71A
6437,DE71B
6438,DE71C
6439,DE71D
6440,DE71E
6531,DE721
6532,DE722
6533,DE723
6534,DE724
6535,DE725
6611,DE731
6631,DE732
6632,DE733
6633,DE734
6634,DE735
6635,DE736
6636,DE737
13003,DE803
13004,DE804
13071,DE80J
13072,DE80K
13073,DE80L
13074,DE80M
13075,DE80N
13076,DE80O
3101,DE911
3102,DE912
3103,DE913
3151,DE914
3153,DE916
3154,DE917
3155,DE918
3157,DE91A
3158,DE91B
3159,DE91C
3251,DE922
3252,DE923
3254,DE925
3255,DE926
3256,DE927
3257,DE928
3241,DE929
3351,DE931
3352,DE932
3353,DE933
3354,DE934
3355,DE935
3356,DE936
3357,DE937
3358,DE938
3359,DE939
3360,DE93A
3361,DE93B
3401,DE941
3402,DE942
3403,DE943
3404,DE944
3405,DE945
3451,DE946
3452,DE947
3453,DE948
3454,DE949
3455,DE94A
3456,DE94B
3457,DE94C
3458,DE94D
3459,DE94E
3460,DE94F
3461,DE94G
3462,DE94H
5111,DEA11
5112,DEA12
5113,DEA13
5114,DEA14
5116,DEA15
5117,DEA16
5119,DEA17
5120,DEA18
5122,DEA19
5124,DEA1A
5154,DEA1B
5158,DEA1C
5162,DEA1D
5166,DEA1E
5170,DEA1F
5314,DEA22
5315,DEA23
5316,DEA24
5358,DEA26
5362,DEA27
5366,DEA28
5370,DEA29
5374,DEA2A
5378,DEA2B
5382,DEA2C
5334,DEA2D
5512,DEA31
5513,DEA32
5515,DEA33
5554,DEA34
5558,DEA35
5562,DEA36
5566,DEA37
5570,DEA38
5711,DEA41
5754,DEA42
5758,DEA43
5762,DEA44
5766,DEA45
5770,DEA46
5774,DEA47
5911,DEA51
5913,DEA52
5914,DEA53
5915,DEA54
5916,DEA55
5954,DEA56
5958,DEA57
5962,DEA58
5966,DEA59
5970,DEA5A
5974,DEA5B
5978,DEA5C
7111,DEB11
7131,DEB12
7132,DEB13
7133,DEB14
7134,DEB15
7137,DEB17
7138,DEB18
7141,DEB1A
7143,DEB1B
7135,DEB1C
7140,DEB1D
7211,DEB21
7231,DEB22
7232,DEB23
7233,DEB24
7235,DEB25
7311,DEB31
7312,DEB32
7313,DEB33
7314,DEB34
7315,DEB35
7316,DEB36
7317,DEB37
7318,DEB38
7319,DEB39
7320,DEB3A
7331,DEB3B
7332,DEB3C
7333,DEB3D
7334,DEB3E
7335,DEB3F
7336,DEB3G
7337,DEB3H
7338,DEB3I
7339,DEB3J
7340,DEB3K
10041,DEC01
10042,DEC02
10043,DEC03
10044,DEC04
10045,DEC05
10046,DEC06
14612,DED21
14625,DED2C
14626,DED2D
14627,DED2E
14628,DED2F
14511,DED41
14521,DED42
14522,DED43
14523,DED44
14524,DED45
14713,DED51
14729,DED52
14730,DED53
15001,DEE01
15002,DEE02
15003,DEE03
15081,DEE04
15082,DEE05
15086,DEE06
15083,DEE07
15084,DEE08
15085,DEE09
15087,DEE0A
15088,DEE0B
15089,DEE0C
15090,DEE0D
15091,DEE0E
1001,DEF01
1002,DEF02
1003,DEF03
1004,DEF04
1051,DEF05
1053,DEF06
1054,DEF07
1055,DEF08
1056,DEF09
1057,DEF0A
1058,DEF0B
1059,DEF0C
1060,DEF0D
1061,DEF0E
1062,DEF0F
16051,DEG01
16052,DEG02
16053,DEG03
16054,DEG04
16055,DEG05
16061,DEG06
16062,DEG07
16064,DEG09
16065,DEG0A
16066,DEG0B
16067,DEG0C
16068,DEG0D
16069,DEG0E
16070,DEG0F
16071,DEG0G
16072,DEG0H
16073,DEG0I
16074,DEG0J
16075,DEG0K
16076,DEG0L
16077,DEG0M
16056,DEG0N
16063,DEG0P
